error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1401,92287,92288,0x002D0FE0,0x002D1000,15885,15888,3,2,0xD39B33F7,0xA73667EF,0x9CD99FBF,3,2,True
1402,92288,92289,0x002D1000,0x002D1020,15888,16605,717,716,0x9CD99FBF,0x39B33F7E,0x7C514676,>64,unknown,False
1403,92415,92416,0x002D1FE0,0x002D2000,16731,16734,3,2,0xA36EEFAA,0x46DDDF55,0x1B777D56,3,2,True
1404,92416,92417,0x002D2000,0x002D2020,16734,17869,1135,1134,0x1B777D56,0x36EEFAAC,0x2B467B5D,>64,unknown,False
1405,92543,92544,0x002D2FE0,0x002D3000,17995,17998,3,2,0xB9D041D5,0x73A083AA,0xCE820EAA,3,2,True
1406,92544,92545,0x002D3000,0x002D3020,17998,18724,726,725,0xCE820EAA,0x9D041D54,0xA582E3B7,>64,unknown,False
1407,92671,92672,0x002D3FE0,0x002D4000,18850,18853,3,2,0x3F46072D,0x7E8C0E5A,0xFA303968,3,2,True
1408,92672,92673,0x002D4000,0x002D4020,18853,19994,1141,1140,0xFA303968,0xF46072D1,0xA13F389E,>64,unknown,False
1409,92799,92800,0x002D4FE0,0x002D5000,20120,20123,3,2,0xE50DE4AB,0xCA1BC957,0x286F255E,3,2,True
1410,92800,92801,0x002D5000,0x002D5020,20123,20860,737,736,0x286F255E,0x50DE4ABD,0x0788BD8E,>64,unknown,False
1411,92927,92928,0x002D5FE0,0x002D6000,20986,20989,3,2,0xD58420F0,0xAB0841E0,0xAC210780,3,2,True
1412,92928,92929,0x002D6000,0x002D6020,20989,22125,1136,1135,0xAC210780,0x58420F01,0x2696DBD1,>64,unknown,False
1413,93055,93056,0x002D6FE0,0x002D7000,22251,22254,3,2,0x9D21AA3C,0x3A435479,0xE90D51E4,3,2,True
1414,93056,93057,0x002D7000,0x002D7020,22254,23704,1450,1449,0xE90D51E4,0xD21AA3C8,0xC79A3F6D,>64,unknown,False
1415,93183,93184,0x002D7FE0,0x002D8000,23830,23833,3,2,0x2858D94A,0x50B1B295,0x42C6CA54,3,2,True
1416,93184,93185,0x002D8000,0x002D8020,23833,24945,1112,1111,0x42C6CA54,0x858D94A9,0x2A7E4F04,>64,unknown,False
1417,93311,93312,0x002D8FE0,0x002D9000,25071,25074,3,2,0xFF8DA35C,0xFF1B46B8,0xFC6D1AE3,3,2,True
1418,93312,93313,0x002D9000,0x002D9020,25074,26202,1128,1127,0xFC6D1AE3,0xF8DA35C6,0x3F27A86B,>64,unknown,False
1419,93439,93440,0x002D9FE0,0x002DA000,26328,26331,3,2,0xD4C10D2F,0xA9821A5E,0xA6086978,3,2,True
1420,93440,93441,0x002DA000,0x002DA020,26331,27478,1147,1146,0xA6086978,0x4C10D2F1,0x1777913F,>64,unknown,False
1421,93567,93568,0x002DAFE0,0x002DB000,27604,27607,3,2,0x0A9590B4,0x152B2169,0x54AC85A4,3,2,True
1422,93568,93569,0x002DB000,0x002DB020,27607,28499,892,891,0x54AC85A4,0xA9590B48,0x40F9E01A,>64,unknown,False
1423,93695,93696,0x002DBFE0,0x002DC000,28625,28628,3,2,0xEF0E1831,0xDE1C3063,0x7870C18F,3,2,True
1424,93696,93697,0x002DC000,0x002DC020,28628,29772,1144,1143,0x7870C18F,0xF0E1831E,0x36ED7900,>64,unknown,False
1425,93823,93824,0x002DCFE0,0x002DD000,29898,29901,3,2,0xD0AA3352,0xA15466A4,0x85519A91,3,2,True
1426,93824,93825,0x002DD000,0x002DD020,29901,31043,1142,1141,0x85519A91,0x0AA33522,0xE771B183,>64,unknown,False
1427,93951,93952,0x002DDFE0,0x002DE000,31169,31172,3,2,0x546A6C5A,0xA8D4D8B5,0xA35362D4,3,2,True
1428,93952,93953,0x002DE000,0x002DE020,31172,32294,1122,1121,0xA35362D4,0x46A6C5A9,0xB6331D3F,>64,unknown,False
1429,94079,94080,0x002DEFE0,0x002DF000,32420,32423,3,2,0xBC4CDDCD,0x7899BB9B,0xE266EE6F,3,2,True
1430,94080,94081,0x002DF000,0x002DF020,32423,33312,889,888,0xE266EE6F,0xC4CDDCDE,0xCCACD648,>64,unknown,False
1431,94207,94208,0x002DFFE0,0x002E0000,33438,33441,3,2,0xA009B545,0x40136A8A,0x004DAA2A,3,2,True
1432,94208,94209,0x002E0000,0x002E0020,33441,34637,1196,1195,0x004DAA2A,0x009B5454,0xD4B6FFA5,>64,unknown,False
1433,94335,94336,0x002E0FE0,0x002E1000,34763,34766,3,2,0x5A3C6219,0xB478C433,0xD1E310CD,3,2,True
1434,94336,94337,0x002E1000,0x002E1020,34766,36269,1503,1502,0xD1E310CD,0xA3C6219A,0x19A2D090,>64,unknown,False
1435,94463,94464,0x002E1FE0,0x002E2000,36395,36398,3,2,0xEE749E92,0xDCE93D25,0x73A4F496,3,2,True
1436,94464,94465,0x002E2000,0x002E2020,36398,37534,1136,1135,0x73A4F496,0xE749E92D,0xFE7AAD91,>64,unknown,False
1437,94591,94592,0x002E2FE0,0x002E3000,37660,37663,3,2,0x49274223,0x924E8446,0x493A111B,3,2,True
1438,94592,94593,0x002E3000,0x002E3020,37663,39108,1445,1444,0x493A111B,0x92742236,0xD3B86973,>64,unknown,False
1439,94719,94720,0x002E3FE0,0x002E4000,39234,39237,3,2,0xFAEEAC8C,0xF5DD5918,0xD7756460,3,2,True
1440,94720,94721,0x002E4000,0x002E4020,39237,40379,1142,1141,0xD7756460,0xAEEAC8C0,0xAC15CCBE,>64,unknown,False
1441,94847,94848,0x002E4FE0,0x002E5000,40505,40508,3,2,0x4EA8D257,0x9D51A4AE,0x754692BB,3,2,True
1442,94848,94849,0x002E5000,0x002E5020,40508,41333,825,824,0x754692BB,0xEA8D2577,0x12963C11,>64,unknown,False
1443,94975,94976,0x002E5FE0,0x002E6000,41459,41462,3,2,0x8EEC6B80,0x1DD8D701,0x77635C05,3,2,True
1444,94976,94977,0x002E6000,0x002E6020,41462,42605,1143,1142,0x77635C05,0xEEC6B80A,0xD45C4ABD,>64,unknown,False
1445,95103,95104,0x002E6FE0,0x002E7000,42731,42734,3,2,0x853EC16F,0x0A7D82DE,0x29F60B79,3,2,True
1446,95104,95105,0x002E7000,0x002E7020,42734,44126,1392,1391,0x29F60B79,0x53EC16F2,0x53E265D0,>64,unknown,False
1447,95231,95232,0x002E7FE0,0x002E8000,44252,44255,3,2,0x821AFC8B,0x0435F917,0x10D7E45D,3,2,True
1448,95232,95233,0x002E8000,0x002E8020,44255,45386,1131,1130,0x10D7E45D,0x21AFC8BB,0x8921AF00,>64,unknown,False
