error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,0,1,0x00000000,0x00000020,10937,11899,962,961,0x0BDB9B2F,0x17B7365F,0xF696D365,>64,unknown,False
2,127,128,0x00000FE0,0x00001000,12025,12028,3,2,0xDA262286,0xB44C450D,0xD1311435,3,2,True
3,128,129,0x00001000,0x00001020,12028,12992,964,963,0xD1311435,0xA262286B,0x48B2710A,>64,unknown,False
4,255,256,0x00001FE0,0x00002000,13118,13121,3,2,0x5D01E009,0xBA03C012,0xE80F0049,3,2,True
5,256,257,0x00002000,0x00002020,13121,14021,900,899,0xE80F0049,0xD01E0092,0xBE8DD05F,>64,unknown,False
6,383,384,0x00002FE0,0x00003000,14147,14150,3,2,0x7716CC59,0xEE2D98B2,0xB8B662CA,3,2,True
7,384,385,0x00003000,0x00003020,14150,15117,967,966,0xB8B662CA,0x716CC594,0x1CA9275A,>64,unknown,False
8,511,512,0x00003FE0,0x00004000,15243,15246,3,2,0x71C58710,0xE38B0E20,0x8E2C3882,3,2,True
9,512,513,0x00004000,0x00004020,15246,16139,893,892,0x8E2C3882,0x1C587104,0xF028CD84,>64,unknown,False
10,639,640,0x00004FE0,0x00005000,16265,16268,3,2,0xA2FAE75F,0x45F5CEBE,0x17D73AF9,3,2,True
11,640,641,0x00005000,0x00005020,16268,17231,963,962,0x17D73AF9,0x2FAE75F2,0x2FA2B42A,>64,unknown,False
12,767,768,0x00005FE0,0x00006000,17357,17360,3,2,0xA2E6741F,0x45CCE83E,0x1733A0F9,3,2,True
13,768,769,0x00006000,0x00006020,17360,18326,966,965,0x1733A0F9,0x2E6741F3,0xC5535F85,>64,unknown,False
14,895,896,0x00006FE0,0x00007000,18452,18455,3,2,0x55DCC627,0xABB98C4E,0xAEE6313A,3,2,True
15,896,897,0x00007000,0x00007020,18455,19417,962,961,0xAEE6313A,0x5DCC6275,0x13DD83A0,>64,unknown,False
16,1023,1024,0x00007FE0,0x00008000,19543,19546,3,2,0xCBB23FE2,0x97647FC4,0x5D91FF13,3,2,True
17,1024,1025,0x00008000,0x00008020,19546,20506,960,959,0x5D91FF13,0xBB23FE27,0x184891CD,>64,unknown,False
18,1151,1152,0x00008FE0,0x00009000,20632,20635,3,2,0x4D81F788,0x9B03EF11,0x6C0FBC45,3,2,True
19,1152,1153,0x00009000,0x00009020,20635,21599,964,963,0x6C0FBC45,0xD81F788A,0x66E92AFF,>64,unknown,False
20,1279,1280,0x00009FE0,0x0000A000,21725,21728,3,2,0x92EF715A,0x25DEE2B4,0x977B8AD2,3,2,True
21,1280,1281,0x0000A000,0x0000A020,21728,22684,956,955,0x977B8AD2,0x2EF715A5,0xB2973C54,>64,unknown,False
22,1407,1408,0x0000AFE0,0x0000B000,22810,22813,3,2,0x0FFDFA66,0x1FFBF4CD,0x7FEFD337,3,2,True
23,1408,1409,0x0000B000,0x0000B020,22813,23705,892,891,0x7FEFD337,0xFFDFA66E,0x3B300796,>64,unknown,False
24,1535,1536,0x0000BFE0,0x0000C000,23831,23834,3,2,0x86F248FE,0x0DE491FC,0x379247F1,3,2,True
25,1536,1537,0x0000C000,0x0000C020,23834,24794,960,959,0x379247F1,0x6F248FE2,0x9590FF20,>64,unknown,False
26,1663,1664,0x0000CFE0,0x0000D000,24920,24923,3,2,0x8011DFBB,0x0023BF76,0x008EFDD8,3,2,True
27,1664,1665,0x0000D000,0x0000D020,24923,25817,894,893,0x008EFDD8,0x011DFBB1,0x06ACDD0F,>64,unknown,False
28,1791,1792,0x0000DFE0,0x0000E000,25943,25946,3,2,0xB6373A3F,0x6C6E747F,0xB1B9D1FD,3,2,True
29,1792,1793,0x0000E000,0x0000E020,25946,26905,959,958,0xB1B9D1FD,0x6373A3FB,0xD9A7114F,>64,unknown,False
30,1919,1920,0x0000EFE0,0x0000F000,27031,27034,3,2,0x08CCCCD0,0x119999A0,0x46666683,3,2,True
31,1920,1921,0x0000F000,0x0000F020,27034,28011,977,976,0x46666683,0x8CCCCD06,0x5406A680,>64,unknown,False
32,2047,2048,0x0000FFE0,0x00010000,28137,28140,3,2,0x625B7AAE,0xC4B6F55C,0x12DBD571,3,2,True
33,2048,2049,0x00010000,0x00010020,28140,29102,962,961,0x12DBD571,0x25B7AAE2,0xC4E6F3DA,>64,unknown,False
34,2175,2176,0x00010FE0,0x00011000,29228,29231,3,2,0xDFD00F8C,0xBFA01F18,0xFE807C63,3,2,True
35,2176,2177,0x00011000,0x00011020,29231,30202,971,970,0xFE807C63,0xFD00F8C6,0x9F19C518,>64,unknown,False
36,2303,2304,0x00011FE0,0x00012000,30328,30331,3,2,0x4F23F7EE,0x9E47EFDD,0x791FBF74,3,2,True
37,2304,2305,0x00012000,0x00012020,30331,31298,967,966,0x791FBF74,0xF23F7EE8,0xAECD8406,>64,unknown,False
38,2431,2432,0x00012FE0,0x00013000,31424,31427,3,2,0x686DD9A6,0xD0DBB34C,0x436ECD31,3,2,True
39,2432,2433,0x00013000,0x00013020,31427,32391,964,963,0x436ECD31,0x86DD9A62,0x50D22BE3,>64,unknown,False
40,2559,2560,0x00013FE0,0x00014000,32517,32520,3,2,0xE3EB0862,0xC7D610C5,0x1F584317,3,2,True
41,2560,2561,0x00014000,0x00014020,32520,33418,898,897,0x1F584317,0x3EB0862E,0x368BED4C,>64,unknown,False
