error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,127,128,0x00000FE0,0x00001000,9706,9709,3,2,0x07A966B6,0x0F52CD6C,0x3D4B35B1,3,2,True
2,255,256,0x00001FE0,0x00002000,9836,9839,3,2,0x73B46E44,0xE768DC89,0x9DA37224,3,2,True
3,383,384,0x00002FE0,0x00003000,9966,9969,3,2,0x53735E6E,0xA6E6BCDC,0x9B9AF371,3,2,True
4,511,512,0x00003FE0,0x00004000,10096,10099,3,2,0xE4FCB662,0xC9F96CC4,0x27E5B312,3,2,True
5,639,640,0x00004FE0,0x00005000,10226,10229,3,2,0x7915E926,0xF22BD24C,0xC8AF4931,3,2,True
6,767,768,0x00005FE0,0x00006000,10356,10359,3,2,0xB6B5A0EB,0x6D6B41D6,0xB5AD0758,3,2,True
7,895,896,0x00006FE0,0x00007000,10486,10489,3,2,0xF959DDA1,0xF2B3BB42,0xCACEED0B,3,2,True
8,1023,1024,0x00007FE0,0x00008000,10616,10619,3,2,0x07427972,0x0E84F2E5,0x3A13CB97,3,2,True
9,1151,1152,0x00008FE0,0x00009000,10746,10749,3,2,0x5FE5C2E1,0xBFCB85C2,0xFF2E170A,3,2,True
10,1279,1280,0x00009FE0,0x0000A000,10876,10879,3,2,0x0316907F,0x062D20FF,0x18B483FF,3,2,True
11,1407,1408,0x0000AFE0,0x0000B000,11006,11009,3,2,0xEA0B5357,0xD416A6AF,0x505A9ABF,3,2,True
12,1535,1536,0x0000BFE0,0x0000C000,11136,11139,3,2,0x64EFF661,0xC9DFECC2,0x277FB30A,3,2,True
13,1663,1664,0x0000CFE0,0x0000D000,11266,11269,3,2,0x2B99B677,0x57336CEF,0x5CCDB3BC,3,2,True
14,1791,1792,0x0000DFE0,0x0000E000,11396,11399,3,2,0xA4399020,0x48732040,0x21CC8101,3,2,True
15,1919,1920,0x0000EFE0,0x0000F000,11526,11529,3,2,0x3E6CA99C,0x7CD95338,0xF3654CE3,3,2,True
16,2047,2048,0x0000FFE0,0x00010000,11656,11659,3,2,0xFAAD57BE,0xF55AAF7C,0xD56ABDF2,3,2,True
17,2175,2176,0x00010FE0,0x00011000,11786,11789,3,2,0x6AFCAAEE,0xD5F955DC,0x57E55771,3,2,True
18,2303,2304,0x00011FE0,0x00012000,11916,11919,3,2,0x4ABA29DA,0x957453B4,0x55D14ED1,3,2,True
19,2431,2432,0x00012FE0,0x00013000,12046,12049,3,2,0xC89E800D,0x913D001B,0x44F4006D,3,2,True
20,2559,2560,0x00013FE0,0x00014000,12176,12179,3,2,0x96C568A7,0x2D8AD14E,0xB62B4539,3,2,True
21,2687,2688,0x00014FE0,0x00015000,12306,12309,3,2,0x58AA1237,0xB154246F,0xC55091BD,3,2,True
22,2815,2816,0x00015FE0,0x00016000,12436,12439,3,2,0x51391B90,0xA2723721,0x89C8DC86,3,2,True
23,2943,2944,0x00016FE0,0x00017000,12566,12569,3,2,0x79E4EE4A,0xF3C9DC95,0xCF277257,3,2,True
24,3071,3072,0x00017FE0,0x00018000,12696,12699,3,2,0x2A9A99AC,0x55353359,0x54D4CD66,3,2,True
25,3199,3200,0x00018FE0,0x00019000,12826,12829,3,2,0x719A5D90,0xE334BB20,0x8CD2EC80,3,2,True
26,3327,3328,0x00019FE0,0x0001A000,12956,12959,3,2,0x49A04BA9,0x93409753,0x4D025D4E,3,2,True
27,3455,3456,0x0001AFE0,0x0001B000,13086,13089,3,2,0xE5C42247,0xCB88448E,0x2E211239,3,2,True
28,3583,3584,0x0001BFE0,0x0001C000,13216,13219,3,2,0x6F1D40CA,0xDE3A8195,0x78EA0657,3,2,True
29,3711,3712,0x0001CFE0,0x0001D000,13346,13349,3,2,0x3855C959,0x70AB92B3,0xC2AE4ACD,3,2,True
30,3839,3840,0x0001DFE0,0x0001E000,13476,13479,3,2,0x83F190BE,0x07E3217C,0x1F8C85F1,3,2,True
31,3967,3968,0x0001EFE0,0x0001F000,13606,13609,3,2,0x92722DC6,0x24E45B8D,0x93916E37,3,2,True
