error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
9274,2110825,2110826,0x0406AD20,0x0406AD40,59286,59289,3,2,0xF4293419,0xE8526833,0xA149A0CC,3,2,False
9275,2110839,2110840,0x0406AEE0,0x0406AF00,59302,59305,3,2,0x341989B8,0x68331370,0xA0CC4DC1,3,2,False
9276,2110847,2110848,0x0406AFE0,0x0406B000,59312,59314,2,1,0x6626E0D9,0xCC4DC1B2,0x989B8364,2,1,True
9277,2110849,2110850,0x0406B020,0x0406B040,59315,59318,3,2,0x313706C8,0x626E0D90,0x89B83640,3,2,False
9278,2110861,2110862,0x0406B1A0,0x0406B1C0,59329,59332,3,2,0xC1B202F6,0x836405EC,0x0D9017B2,3,2,False
9279,2110873,2110874,0x0406B320,0x0406B340,59343,59346,3,2,0x80BD91B1,0x017B2363,0x05EC8D8C,3,2,False
9280,2110883,2110884,0x0406B460,0x0406B480,59355,59358,3,2,0xD91B1985,0xB236330A,0xC8D8CC2B,3,2,False
9281,2110896,2110897,0x0406B600,0x0406B620,59370,59373,3,2,0x8CC2BF2C,0x19857E58,0x6615F961,3,2,False
9282,2110908,2110909,0x0406B780,0x0406B7A0,59384,59387,3,2,0xAFCB09EF,0x5F9613DF,0x7E584F7C,3,2,False
9283,2110921,2110922,0x0406B920,0x0406B940,59399,59402,3,2,0x84F7CD76,0x09EF9AED,0x27BE6BB4,3,2,False
9284,2110934,2110935,0x0406BAC0,0x0406BAE0,59414,59417,3,2,0xE6BB4656,0xCD768CAD,0x35DA32B5,3,2,False
9285,2110947,2110948,0x0406BC60,0x0406BC80,59429,59432,3,2,0xA32B59AA,0x4656B355,0x195ACD54,3,2,False
9286,2110961,2110962,0x0406BE20,0x0406BE40,59445,59448,3,2,0x59AA956C,0xB3552AD9,0xCD54AB67,3,2,False
9287,2110973,2110974,0x0406BFA0,0x0406BFC0,59459,59462,3,2,0xA55B3A73,0x4AB674E6,0x2AD9D398,3,2,False
9288,2110975,2110976,0x0406BFE0,0x0406C000,59463,59465,2,1,0x55B3A731,0xAB674E62,0x56CE9CC4,2,1,True
9289,2110985,2110986,0x0406C120,0x0406C140,59474,59477,3,2,0x9D398978,0x3A7312F1,0xE9CC4BC4,3,2,False
9290,2110997,2110998,0x0406C2A0,0x0406C2C0,59488,59491,3,2,0x625E2780,0xC4BC4F00,0x12F13C01,3,2,False
9291,2111009,2111010,0x0406C420,0x0406C440,59502,59505,3,2,0x89E00A3C,0x13C01478,0x4F0051E0,3,2,False
9292,2111022,2111023,0x0406C5C0,0x0406C5E0,59517,59520,3,2,0x051E0AE4,0x0A3C15C8,0x28F05720,3,2,False
9293,2111035,2111036,0x0406C760,0x0406C780,59532,59535,3,2,0x0572012A,0x0AE40254,0x2B900953,3,2,False
9294,2111049,2111050,0x0406C920,0x0406C940,59548,59551,3,2,0x012A7345,0x0254E68A,0x09539A2B,3,2,False
9295,2111062,2111063,0x0406CAC0,0x0406CAE0,59563,59566,3,2,0x39A2B80E,0x7345701C,0xCD15C071,3,2,False
9296,2111073,2111074,0x0406CC20,0x0406CC40,59576,59579,3,2,0x5701C46F,0xAE0388DE,0xB80E2378,3,2,False
9297,2111086,2111087,0x0406CDC0,0x0406CDE0,59591,59594,3,2,0xE2378FD5,0xC46F1FAA,0x11BC7EAA,3,2,False
9298,2111098,2111099,0x0406CF40,0x0406CF60,59605,59608,3,2,0xE3F5575E,0xC7EAAEBD,0x1FAABAF7,3,2,False
9299,2111103,2111104,0x0406CFE0,0x0406D000,59612,59614,2,1,0xFAABAF78,0xF5575EF0,0xEAAEBDE1,2,1,True
9300,2111111,2111112,0x0406D0E0,0x0406D100,59621,59624,3,2,0x575EF0BD,0xAEBDE17A,0xBAF785EA,3,2,False
